video_id,valid_window_count,target_mean,orig_pred_mean,cal_pred_mean,orig_mae,cal_mae,delta_mae,is_improved,is_worsened
DHF1K_663,35,0.7868,0.835,0.8364,0.0567,0.0577,0.0009,False,True
DHF1K_664,38,0.8797,0.8385,0.8365,0.0572,0.0581,0.001,False,True
DHF1K_665,34,0.8809,0.8563,0.8562,0.0467,0.0468,0.0001,False,False
DHF1K_666,48,0.8475,0.8399,0.8417,0.0283,0.028,-0.0003,True,False
DHF1K_667,36,0.7709,0.8287,0.8319,0.0721,0.0733,0.0011,False,True
DHF1K_668,16,0.8143,0.8488,0.8518,0.0494,0.0513,0.0019,False,True
DHF1K_669,38,0.8629,0.8445,0.8473,0.0483,0.0476,-0.0007,True,False
DHF1K_670,16,0.8743,0.8473,0.8482,0.0321,0.0316,-0.0005,True,False
DHF1K_671,36,0.8067,0.8367,0.835,0.0424,0.0416,-0.0009,True,False
DHF1K_672,23,0.8829,0.8511,0.8476,0.0366,0.039,0.0024,False,True
DHF1K_673,17,0.8532,0.8427,0.8442,0.0511,0.0506,-0.0005,True,False
DHF1K_674,50,0.8793,0.8501,0.8484,0.0506,0.0517,0.0011,False,True
DHF1K_675,43,0.8239,0.8415,0.8392,0.0344,0.0339,-0.0006,True,False
DHF1K_676,23,0.8232,0.8481,0.8511,0.0424,0.0431,0.0007,False,True
DHF1K_677,50,0.8883,0.8419,0.8402,0.0652,0.0665,0.0012,False,True
DHF1K_678,45,0.827,0.8428,0.8411,0.0405,0.0403,-0.0001,True,False
DHF1K_679,31,0.8598,0.8387,0.8398,0.0352,0.0347,-0.0005,True,False
DHF1K_680,30,0.7869,0.8381,0.8407,0.0654,0.0669,0.0015,False,True
DHF1K_681,56,0.884,0.8463,0.8446,0.0455,0.0466,0.0011,False,True
DHF1K_682,21,0.8202,0.8449,0.8456,0.0456,0.0456,-0.0001,False,False
DHF1K_683,31,0.8507,0.834,0.8326,0.0279,0.0289,0.001,False,True
DHF1K_684,27,0.8239,0.8399,0.8382,0.0387,0.0386,-0.0001,False,False
DHF1K_685,37,0.8682,0.8566,0.8525,0.0388,0.0396,0.0008,False,True
DHF1K_686,31,0.8048,0.8501,0.8507,0.0475,0.048,0.0004,False,True
DHF1K_687,46,0.7897,0.8372,0.8354,0.0579,0.0569,-0.0011,True,False
DHF1K_688,51,0.8154,0.8392,0.8371,0.0484,0.0482,-0.0002,True,False
DHF1K_689,20,0.8289,0.8496,0.8502,0.0312,0.0315,0.0003,False,True
DHF1K_690,18,0.8375,0.8573,0.8571,0.0399,0.0398,-0.0001,False,False
DHF1K_691,24,0.8618,0.8502,0.8485,0.0413,0.042,0.0007,False,True
DHF1K_692,85,0.8657,0.8413,0.839,0.0516,0.0526,0.001,False,True
DHF1K_693,38,0.8821,0.8489,0.8457,0.0426,0.0447,0.0021,False,True
DHF1K_694,27,0.8093,0.8364,0.8387,0.0403,0.0411,0.0008,False,True
DHF1K_695,40,0.8347,0.8465,0.8494,0.034,0.0345,0.0005,False,True
DHF1K_696,37,0.8638,0.856,0.8559,0.0317,0.0316,-0.0001,False,False
DHF1K_697,38,0.8399,0.8442,0.8455,0.0485,0.0485,0.0,False,False
DHF1K_698,28,0.8161,0.8375,0.8401,0.0246,0.0264,0.0019,False,True
DHF1K_699,76,0.845,0.8379,0.8406,0.0491,0.0486,-0.0004,True,False
DHF1K_700,28,0.8021,0.8398,0.8425,0.0626,0.0639,0.0013,False,True
